B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 2508237.513, 60, B03, S02, 1
B04, 4
B04, Trade, 290802.067, 63, B04, S03, 1
B04, Trade, 311808.850, 61, B04, S02, 1
B04, Trade, 610729.400, 63, B04, S03, 1
B04, Trade, 617674.017, 63, B04, S00, 1
B05, 34
B05, Trade, 27846.600, 67, B05, S00, 1
B05, Trade, 49365.900, 67, B05, S01, 1
B05, Trade, 74430.267, 67, B05, S01, 1
B05, Trade, 79059.283, 67, B05, S00, 1
B05, Trade, 98634.700, 67, B05, S00, 1
B05, Trade, 181702.717, 66, B05, S01, 1
B05, Trade, 210868.467, 67, B05, S02, 1
B05, Trade, 391687.650, 67, B05, S00, 1
B05, Trade, 485759.533, 67, B05, S05, 1
B05, Trade, 617673.517, 67, B05, S02, 1
B05, Trade, 704256.900, 67, B05, S04, 1
B05, Trade, 763552.417, 67, B05, S00, 1
B05, Trade, 971903.018, 67, B05, S00, 1
B05, Trade, 1113255.568, 67, B05, S00, 1
B05, Trade, 1222740.018, 67, B05, S01, 1
B05, Trade, 1355581.267, 67, B05, S03, 1
B05, Trade, 1357415.317, 67, B05, S01, 1
B05, Trade, 1360637.617, 67, B05, S04, 1
B05, Trade, 2145684.348, 66, B05, S00, 1
B05, Trade, 2148222.381, 67, B05, S00, 1
B05, Trade, 2148733.164, 67, B05, S03, 1
B05, Trade, 2150685.698, 67, B05, S03, 1
B05, Trade, 2150816.498, 67, B05, S02, 1
B05, Trade, 2409889.947, 65, B05, S03, 1
B05, Trade, 2500155.363, 67, B05, S01, 1
B05, Trade, 2505771.880, 66, B05, S03, 1
B05, Trade, 2506174.030, 66, B05, S01, 1
B05, Trade, 2509006.963, 67, B05, S00, 1
B05, Trade, 2509193.613, 67, B05, S01, 1
B05, Trade, 2509996.529, 64, S03, B05, 1
B05, Trade, 2579594.963, 67, B05, S03, 1
B05, Trade, 2582548.629, 67, B05, S01, 1
B05, Trade, 2583659.846, 67, B05, S00, 1
B05, Trade, 2583913.313, 67, B05, S02, 1
B06, 100
B06, Trade, 702797.100, 70, B06, S00, 1
B06, Trade, 704140.284, 70, B06, S02, 1
B06, Trade, 704222.434, 70, B06, S01, 1
B06, Trade, 704255.417, 69, B06, S01, 1
B06, Trade, 704961.834, 70, B06, S01, 1
B06, Trade, 705044.900, 70, B06, S02, 1
B06, Trade, 891456.268, 70, B06, S00, 1
B06, Trade, 909018.201, 70, B06, S01, 1
B06, Trade, 909205.051, 68, B06, S03, 1
B06, Trade, 909666.718, 70, B06, S03, 1
B06, Trade, 909885.651, 69, B06, S01, 1
B06, Trade, 911723.234, 70, B06, S02, 1
B06, Trade, 912715.368, 69, B06, S01, 1
B06, Trade, 914117.835, 69, B06, S03, 1
B06, Trade, 937204.885, 68, B06, S03, 1
B06, Trade, 938877.668, 70, B06, S03, 1
B06, Trade, 940919.651, 68, B06, S04, 1
B06, Trade, 965113.518, 70, B06, S01, 1
B06, Trade, 968216.518, 70, B06, S01, 1
B06, Trade, 969443.785, 70, B06, S04, 1
B06, Trade, 1038262.502, 67, B06, S01, 1
B06, Trade, 1068436.418, 70, B06, S00, 1
B06, Trade, 1070847.235, 70, B06, S04, 1
B06, Trade, 1108910.751, 70, B06, S03, 1
B06, Trade, 1108979.568, 70, B06, S03, 1
B06, Trade, 1111136.218, 70, B06, S01, 1
B06, Trade, 1112600.168, 70, B06, S00, 1
B06, Trade, 1128047.118, 68, B06, S01, 1
B06, Trade, 1216982.768, 70, B06, S03, 1
B06, Trade, 1217641.451, 70, B06, S05, 1
B06, Trade, 1220101.218, 70, B06, S01, 1
B06, Trade, 1223786.851, 69, B06, S03, 1
B06, Trade, 1234467.551, 70, B06, S03, 1
B06, Trade, 1304181.101, 70, B06, S01, 1
B06, Trade, 1313101.901, 70, B06, S03, 1
B06, Trade, 1315044.701, 70, B06, S01, 1
B06, Trade, 1500479.733, 69, B06, S01, 1
B06, Trade, 1529275.716, 70, B06, S05, 1
B06, Trade, 1542353.900, 70, B06, S00, 1
B06, Trade, 1694900.699, 70, B06, S03, 1
B06, Trade, 1866647.799, 70, B06, S02, 1
B06, Trade, 1868321.499, 70, B06, S00, 1
B06, Trade, 1869982.265, 70, B06, S00, 1
B06, Trade, 1877387.149, 70, B06, S00, 1
B06, Trade, 1893676.515, 70, B06, S00, 1
B06, Trade, 1894207.248, 70, B06, S06, 1
B06, Trade, 1894247.015, 70, B06, S05, 1
B06, Trade, 1894694.282, 70, B06, S06, 1
B06, Trade, 1895036.015, 70, B06, S03, 1
B06, Trade, 1896098.532, 70, B06, S05, 1
B06, Trade, 1896552.948, 70, B06, S05, 1
B06, Trade, 1896608.248, 70, B06, S05, 1
B06, Trade, 1897661.832, 70, B06, S02, 1
B06, Trade, 1900021.448, 70, B06, S03, 1
B06, Trade, 1994914.315, 70, B06, S04, 1
B06, Trade, 2105101.231, 70, B06, S01, 1
B06, Trade, 2124303.298, 70, B06, S00, 1
B06, Trade, 2128559.631, 65, B06, S00, 1
B06, Trade, 2128839.514, 70, B06, S02, 1
B06, Trade, 2130030.448, 70, B06, S06, 1
B06, Trade, 2130938.698, 70, B06, S02, 1
B06, Trade, 2261652.430, 70, B06, S03, 1
B06, Trade, 2359114.463, 70, B06, S02, 1
B06, Trade, 2405519.563, 70, B06, S03, 1
B06, Trade, 2405668.763, 70, B06, S03, 1
B06, Trade, 2408952.197, 70, B06, S03, 1
B06, Trade, 2410077.580, 69, B06, S03, 1
B06, Trade, 2411925.797, 70, B06, S03, 1
B06, Trade, 2444663.096, 70, B06, S01, 1
B06, Trade, 2480053.196, 70, B06, S00, 1
B06, Trade, 2483195.313, 70, B06, S06, 1
B06, Trade, 2505617.696, 70, B06, S03, 1
B06, Trade, 2506112.346, 70, B06, S02, 1
B06, Trade, 2506238.480, 70, B06, S00, 1
B06, Trade, 2506309.680, 70, B06, S03, 1
B06, Trade, 2506351.446, 70, B06, S00, 1
B06, Trade, 2506789.713, 70, B06, S02, 1
B06, Trade, 2507056.880, 70, B06, S01, 1
B06, Trade, 2507071.530, 70, B06, S02, 1
B06, Trade, 2507214.680, 70, B06, S01, 1
B06, Trade, 2507641.480, 70, B06, S00, 1
B06, Trade, 2507846.163, 70, B06, S00, 1
B06, Trade, 2508237.313, 70, B06, S01, 1
B06, Trade, 2508326.813, 70, B06, S01, 1
B06, Trade, 2508433.380, 70, B06, S01, 1
B06, Trade, 2508598.180, 70, B06, S02, 1
B06, Trade, 2508928.463, 70, B06, S00, 1
B06, Trade, 2509006.463, 70, B06, S03, 1
B06, Trade, 2509051.863, 70, B06, S03, 1
B06, Trade, 2509150.163, 70, B06, S01, 1
B06, Trade, 2509192.963, 70, B06, S00, 1
B06, Trade, 2510333.363, 70, B06, S03, 1
B06, Trade, 2510336.279, 68, B06, S00, 1
B06, Trade, 2510818.513, 70, B06, S05, 1
B06, Trade, 2511059.929, 70, B06, S02, 1
B06, Trade, 2511161.513, 70, B06, S05, 1
B06, Trade, 2511257.646, 70, B06, S00, 1
B06, Trade, 2511762.746, 70, B06, S00, 1
B06, Trade, 2542972.996, 70, B06, S02, 1
B06, Trade, 2542976.763, 70, B06, S01, 1
B07, 100
B07, Trade, 2509502.463, 74, B07, S00, 1
B07, Trade, 2509527.046, 74, B07, S01, 1
B07, Trade, 2509542.413, 74, B07, S00, 1
B07, Trade, 2509631.046, 74, B07, S05, 1
B07, Trade, 2509701.596, 74, B07, S04, 1
B07, Trade, 2509752.646, 74, B07, S02, 1
B07, Trade, 2509776.263, 74, B07, S02, 1
B07, Trade, 2509805.913, 74, B07, S03, 1
B07, Trade, 2509825.163, 74, B07, S03, 1
B07, Trade, 2509896.446, 74, B07, S01, 1
B07, Trade, 2509939.829, 74, B07, S02, 1
B07, Trade, 2509992.846, 72, B07, S01, 1
B07, Trade, 2509995.529, 74, B07, S02, 1
B07, Trade, 2510014.029, 74, B07, S03, 1
B07, Trade, 2510070.463, 74, B07, S01, 1
B07, Trade, 2510077.629, 74, B07, S05, 1
B07, Trade, 2510102.946, 74, B07, S05, 1
B07, Trade, 2510174.946, 74, B07, S00, 1
B07, Trade, 2510267.579, 74, B07, S00, 1
B07, Trade, 2510310.413, 74, B07, S03, 1
B07, Trade, 2510334.063, 69, B07, S03, 1
B07, Trade, 2510385.029, 71, B07, S01, 1
B07, Trade, 2510460.746, 74, B07, S00, 1
B07, Trade, 2510637.829, 74, B07, S05, 1
B07, Trade, 2510799.496, 74, B07, S03, 1
B07, Trade, 2510825.396, 74, B07, S02, 1
B07, Trade, 2510839.146, 74, B07, S00, 1
B07, Trade, 2510869.079, 74, B07, S03, 1
B07, Trade, 2510900.063, 74, B07, S02, 1
B07, Trade, 2511014.946, 74, B07, S03, 1
B07, Trade, 2511059.446, 74, B07, S01, 1
B07, Trade, 2511085.396, 74, B07, S05, 1
B07, Trade, 2511142.863, 69, B07, S03, 1
B07, Trade, 2511159.779, 74, B07, S03, 1
B07, Trade, 2511258.979, 68, B07, S03, 1
B07, Trade, 2511337.863, 74, B07, S00, 1
B07, Trade, 2511385.229, 74, B07, S02, 1
B07, Trade, 2511433.529, 74, B07, S05, 1
B07, Trade, 2511473.779, 74, B07, S00, 1
B07, Trade, 2511513.213, 74, B07, S00, 1
B07, Trade, 2511570.046, 74, B07, S05, 1
B07, Trade, 2511610.863, 74, B07, S02, 1
B07, Trade, 2511630.396, 74, B07, S02, 1
B07, Trade, 2511673.913, 74, B07, S01, 1
B07, Trade, 2511724.096, 74, B07, S03, 1
B07, Trade, 2511760.363, 74, B07, S01, 1
B07, Trade, 2511783.246, 74, B07, S00, 1
B07, Trade, 2511808.463, 71, B07, S02, 1
B07, Trade, 2511831.896, 74, B07, S02, 1
B07, Trade, 2511875.746, 74, B07, S00, 1
B07, Trade, 2512137.796, 74, B07, S03, 1
B07, Trade, 2512139.513, 71, B07, S02, 1
B07, Trade, 2512173.396, 74, B07, S03, 1
B07, Trade, 2512176.763, 74, B07, S05, 1
B07, Trade, 2512256.713, 74, B07, S00, 1
B07, Trade, 2512299.363, 72, B07, S01, 1
B07, Trade, 2512330.579, 74, B07, S02, 1
B07, Trade, 2512425.829, 74, B07, S02, 1
B07, Trade, 2512454.146, 74, B07, S02, 1
B07, Trade, 2512481.346, 74, B07, S00, 1
B07, Trade, 2512584.696, 74, B07, S00, 1
B07, Trade, 2512727.596, 74, B07, S00, 1
B07, Trade, 2512742.263, 74, B07, S05, 1
B07, Trade, 2512749.679, 74, B07, S03, 1
B07, Trade, 2512785.813, 74, B07, S02, 1
B07, Trade, 2526349.479, 73, B07, S02, 1
B07, Trade, 2542974.213, 71, B07, S03, 1
B07, Trade, 2543576.129, 74, B07, S02, 1
B07, Trade, 2544340.496, 74, B07, S03, 1
B07, Trade, 2548725.813, 74, B07, S00, 1
B07, Trade, 2549435.663, 74, B07, S02, 1
B07, Trade, 2549621.429, 74, B07, S03, 1
B07, Trade, 2553605.029, 74, B07, S02, 1
B07, Trade, 2554506.829, 74, B07, S01, 1
B07, Trade, 2554805.429, 74, B07, S05, 1
B07, Trade, 2556226.763, 73, B07, S06, 1
B07, Trade, 2556239.213, 74, B07, S06, 1
B07, Trade, 2556359.113, 74, B07, S04, 1
B07, Trade, 2557406.029, 74, B07, S05, 1
B07, Trade, 2558910.829, 74, B07, S04, 1
B07, Trade, 2559683.396, 73, B07, S02, 1
B07, Trade, 2559801.063, 74, B07, S06, 1
B07, Trade, 2560171.163, 74, B07, S04, 1
B07, Trade, 2561747.363, 74, B07, S06, 1
B07, Trade, 2562720.996, 74, B07, S05, 1
B07, Trade, 2563132.729, 74, B07, S06, 1
B07, Trade, 2564910.263, 74, B07, S03, 1
B07, Trade, 2578452.979, 74, B07, S04, 1
B07, Trade, 2579184.179, 74, B07, S03, 1
B07, Trade, 2579388.179, 72, B07, S01, 1
B07, Trade, 2579594.879, 74, B07, S00, 1
B07, Trade, 2580485.729, 73, B07, S03, 1
B07, Trade, 2580932.613, 73, B07, S01, 1
B07, Trade, 2581042.213, 74, B07, S05, 1
B07, Trade, 2582619.463, 73, B07, S02, 1
B07, Trade, 2582797.646, 74, B07, S04, 1
B07, Trade, 2583199.713, 74, B07, S02, 1
B07, Trade, 2583659.463, 73, B07, S01, 1
B07, Trade, 2583911.379, 74, B07, S01, 1
B07, Trade, 2584400.446, 74, B07, S07, 1
B08, 100
B08, Trade, 2548137.563, 77, B08, S01, 1
B08, Trade, 2548337.813, 77, B08, S04, 1
