B00, 0
B01, 0
B02, 0
B03, 0
B04, 3
B04, Trade, 1016117.452, 63, B04, S02, 1
B04, Trade, 1042794.285, 63, B04, S01, 1
B04, Trade, 1833172.032, 62, B04, S01, 1
B05, 51
B05, Trade, 101011.217, 67, B05, S04, 1
B05, Trade, 101498.800, 67, B05, S04, 1
B05, Trade, 101786.150, 67, B05, S04, 1
B05, Trade, 101825.733, 67, B05, S02, 1
B05, Trade, 101882.850, 67, B05, S00, 1
B05, Trade, 102125.083, 67, B05, S01, 1
B05, Trade, 102474.917, 67, B05, S01, 1
B05, Trade, 102724.983, 66, B05, S02, 1
B05, Trade, 103198.150, 67, B05, S01, 1
B05, Trade, 103221.100, 67, B05, S01, 1
B05, Trade, 103750.150, 67, B05, S00, 1
B05, Trade, 103761.050, 67, B05, S04, 1
B05, Trade, 104252.033, 67, B05, S02, 1
B05, Trade, 104264.333, 66, B05, S02, 1
B05, Trade, 104382.583, 67, B05, S02, 1
B05, Trade, 104751.033, 67, B05, S02, 1
B05, Trade, 105102.800, 66, B05, S01, 1
B05, Trade, 105160.400, 67, B05, S02, 1
B05, Trade, 105245.067, 67, B05, S04, 1
B05, Trade, 105417.350, 67, B05, S02, 1
B05, Trade, 105431.117, 67, B05, S00, 1
B05, Trade, 105503.383, 67, B05, S02, 1
B05, Trade, 106064.617, 67, B05, S00, 1
B05, Trade, 107266.450, 67, B05, S01, 1
B05, Trade, 107740.117, 67, B05, S01, 1
B05, Trade, 160582.883, 67, B05, S01, 1
B05, Trade, 164455.967, 67, B05, S04, 1
B05, Trade, 266650.050, 67, B05, S04, 1
B05, Trade, 310085.417, 67, B05, S01, 1
B05, Trade, 330676.333, 67, B05, S00, 1
B05, Trade, 415524.900, 67, B05, S02, 1
B05, Trade, 430405.500, 67, B05, S03, 1
B05, Trade, 1016819.235, 67, B05, S00, 1
B05, Trade, 1043736.518, 67, B05, S00, 1
B05, Trade, 1556351.066, 65, B05, S02, 1
B05, Trade, 1725974.282, 67, B05, S01, 1
B05, Trade, 1768683.616, 65, B05, S01, 1
B05, Trade, 1830450.882, 67, B05, S02, 1
B05, Trade, 1831072.632, 67, B05, S01, 1
B05, Trade, 1832446.682, 67, B05, S01, 1
B05, Trade, 1833170.882, 67, B05, S02, 1
B05, Trade, 1833918.699, 67, B05, S01, 1
B05, Trade, 1835796.649, 67, B05, S01, 1
B05, Trade, 1974024.231, 67, B05, S05, 1
B05, Trade, 1975149.715, 67, B05, S02, 1
B05, Trade, 1977617.265, 67, B05, S05, 1
B05, Trade, 1978197.998, 67, B05, S04, 1
B05, Trade, 2017427.215, 67, B05, S03, 1
B05, Trade, 2056953.948, 67, B05, S03, 1
B05, Trade, 2073261.581, 67, B05, S02, 1
B05, Trade, 2166428.981, 65, B05, S02, 1
B06, 100
B06, Trade, 572868.333, 69, B06, S01, 1
B06, Trade, 578204.250, 70, B06, S03, 1
B06, Trade, 578207.050, 70, B06, S02, 1
B06, Trade, 582649.050, 70, B06, S03, 1
B06, Trade, 613352.100, 70, B06, S04, 1
B06, Trade, 624243.917, 70, B06, S06, 1
B06, Trade, 713680.067, 70, B06, S04, 1
B06, Trade, 765019.234, 70, B06, S00, 1
B06, Trade, 1032829.285, 69, B06, S00, 1
B06, Trade, 1034527.702, 70, B06, S02, 1
B06, Trade, 1038062.685, 70, B06, S04, 1
B06, Trade, 1038391.918, 70, B06, S04, 1
B06, Trade, 1039255.935, 69, B06, S01, 1
B06, Trade, 1039614.152, 69, B06, S02, 1
B06, Trade, 1040475.452, 69, B06, S03, 1
B06, Trade, 1041580.168, 70, B06, S00, 1
B06, Trade, 1041718.518, 70, B06, S04, 1
B06, Trade, 1042207.902, 70, B06, S01, 1
B06, Trade, 1042239.685, 69, B06, S00, 1
B06, Trade, 1042794.168, 70, B06, S02, 1
B06, Trade, 1047842.035, 70, B06, S02, 1
B06, Trade, 1049613.885, 69, B06, S02, 1
B06, Trade, 1050658.018, 70, B06, S01, 1
B06, Trade, 1075927.752, 70, B06, S05, 1
B06, Trade, 1078781.285, 70, B06, S06, 1
B06, Trade, 1083996.201, 70, B06, S04, 1
B06, Trade, 1084185.185, 70, B06, S06, 1
B06, Trade, 1210836.551, 69, B06, S00, 1
B06, Trade, 1214256.784, 70, B06, S03, 1
B06, Trade, 1215793.384, 70, B06, S02, 1
B06, Trade, 1215856.601, 69, B06, S03, 1
B06, Trade, 1246800.618, 70, B06, S03, 1
B06, Trade, 1267180.201, 69, B06, S02, 1
B06, Trade, 1516674.000, 70, B06, S00, 1
B06, Trade, 1654601.733, 70, B06, S01, 1
B06, Trade, 1693800.149, 70, B06, S01, 1
B06, Trade, 1738060.599, 70, B06, S04, 1
B06, Trade, 1764043.349, 70, B06, S02, 1
B06, Trade, 1778645.599, 70, B06, S05, 1
B06, Trade, 1808940.832, 70, B06, S00, 1
B06, Trade, 1815587.932, 70, B06, S00, 1
B06, Trade, 1818908.582, 70, B06, S03, 1
B06, Trade, 1819704.065, 70, B06, S05, 1
B06, Trade, 1820447.715, 70, B06, S03, 1
B06, Trade, 1833500.865, 67, B06, S01, 1
B06, Trade, 1857056.382, 69, B06, S03, 1
B06, Trade, 1888749.932, 70, B06, S02, 1
B06, Trade, 1889924.898, 70, B06, S03, 1
B06, Trade, 1954758.498, 70, B06, S03, 1
B06, Trade, 1958322.332, 70, B06, S01, 1
B06, Trade, 1973373.481, 70, B06, S04, 1
B06, Trade, 1973426.165, 70, B06, S03, 1
B06, Trade, 1973651.315, 69, B06, S02, 1
B06, Trade, 1973927.515, 70, B06, S04, 1
B06, Trade, 1974023.948, 70, B06, S03, 1
B06, Trade, 1974076.831, 70, B06, S05, 1
B06, Trade, 1974998.415, 70, B06, S04, 1
B06, Trade, 1975035.698, 70, B06, S06, 1
B06, Trade, 1975420.781, 70, B06, S02, 1
B06, Trade, 1975570.915, 70, B06, S03, 1
B06, Trade, 1975740.348, 70, B06, S04, 1
B06, Trade, 1975943.915, 70, B06, S05, 1
B06, Trade, 1975971.815, 69, B06, S05, 1
B06, Trade, 1976366.048, 68, B06, S03, 1
B06, Trade, 1977013.198, 70, B06, S02, 1
B06, Trade, 1977074.731, 70, B06, S05, 1
B06, Trade, 1977189.565, 70, B06, S02, 1
B06, Trade, 1977315.148, 70, B06, S05, 1
B06, Trade, 1977615.765, 70, B06, S06, 1
B06, Trade, 1977855.915, 70, B06, S03, 1
B06, Trade, 1978195.531, 69, B06, S04, 1
B06, Trade, 1978259.048, 70, B06, S06, 1
B06, Trade, 1978561.815, 69, B06, S02, 1
B06, Trade, 1978592.565, 70, B06, S05, 1
B06, Trade, 1978803.081, 70, B06, S02, 1
B06, Trade, 1980006.265, 70, B06, S04, 1
B06, Trade, 2017427.098, 70, B06, S01, 1
B06, Trade, 2051642.631, 70, B06, S05, 1
B06, Trade, 2160465.814, 70, B06, S03, 1
B06, Trade, 2160859.847, 70, B06, S03, 1
B06, Trade, 2161645.597, 70, B06, S01, 1
B06, Trade, 2162588.514, 70, B06, S04, 1
B06, Trade, 2163112.914, 70, B06, S04, 1
B06, Trade, 2164754.597, 70, B06, S06, 1
B06, Trade, 2165330.164, 70, B06, S01, 1
B06, Trade, 2165808.264, 69, B06, S02, 1
B06, Trade, 2235822.131, 69, B06, S01, 1
B06, Trade, 2240972.047, 70, B06, S01, 1
