B00, 0
B01, 1
B05, Trade, 710232.217, 67, B05, S05, 1
B05, Trade, 710518.201, 67, B05, S04, 1
B05, Trade, 837602.451, 67, B05, S00, 1
B05, Trade, 1139414.385, 63, B05, S03, 1
B05, Trade, 1140474.535, 63, B05, S03, 1
B05, Trade, 1202413.434, 67, B05, S03, 1
B05, Trade, 1202941.268, 67, B05, S03, 1
B05, Trade, 1203849.734, 67, B05, S03, 1
B05, Trade, 1244494.234, 67, B05, S04, 1
B05, Trade, 1302053.717, 215, B05, S02, 1
B05, Trade, 1326643.684, 217, B05, S01, 1
B05, Trade, 1334068.401, 217, B05, S02, 1
B05, Trade, 1335325.917, 214, B05, S01, 1
B05, Trade, 1417141.367, 217, B05, S02, 1
B05, Trade, 1436729.533, 214, B05, S03, 1
B05, Trade, 1453387.350, 216, B05, S03, 1
B05, Trade, 1481017.950, 217, B05, S03, 1
B05, Trade, 1483418.733, 217, B05, S00, 1
B05, Trade, 1484627.483, 216, B05, S03, 1
B05, Trade, 1485117.317, 217, B05, S01, 1
B05, Trade, 1485823.083, 217, B05, S03, 1
B05, Trade, 1488910.767, 216, B05, S03, 1
B05, Trade, 1489640.317, 217, B05, S01, 1
B05, Trade, 1489664.750, 216, B05, S01, 1
B05, Trade, 1489743.667, 216, B05, S02, 1
B05, Trade, 1512965.133, 216, B05, S04, 1
B05, Trade, 1523739.650, 217, B05, S04, 1
B05, Trade, 1642215.049, 217, B05, S01, 1
B05, Trade, 1667255.966, 216, B05, S00, 1
B05, Trade, 1668698.399, 216, B05, S00, 1
B05, Trade, 1670507.216, 217, B05, S02, 1
B05, Trade, 1670926.083, 217, B05, S04, 1
B05, Trade, 1674681.999, 215, B05, S02, 1
B05, Trade, 1674773.366, 216, B05, S04, 1
B05, Trade, 1676275.833, 216, B05, S04, 1
B05, Trade, 1677406.766, 217, B05, S04, 1
B05, Trade, 1677601.633, 217, B05, S04, 1
B05, Trade, 1707958.349, 217, B05, S04, 1
B05, Trade, 1708316.416, 217, B05, S03, 1
B05, Trade, 1710414.366, 217, B05, S04, 1
B05, Trade, 1712841.099, 217, B05, S04, 1
B05, Trade, 1727549.249, 217, B05, S01, 1
B05, Trade, 1743635.816, 217, B05, S04, 1
B05, Trade, 1877666.715, 217, B05, S00, 1
B05, Trade, 2202707.214, 216, B05, S02, 1
B05, Trade, 2235635.081, 216, B05, S04, 1
B05, Trade, 2391730.997, 217, B05, S04, 1
B05, Trade, 2391875.847, 216, B05, S03, 1
