B06, Trade, 2483084.180, 220, B06, S00, 1
B06, Trade, 2483284.980, 220, B06, S00, 1
B06, Trade, 2483386.980, 219, B06, S03, 1
B06, Trade, 2483442.180, 219, B06, S04, 1
B06, Trade, 2484339.096, 220, B06, S02, 1
B06, Trade, 2484393.980, 220, B06, S05, 1
B06, Trade, 2485063.346, 220, B06, S03, 1
B06, Trade, 2485419.146, 220, B06, S02, 1
B06, Trade, 2485776.530, 220, B06, S00, 1
B06, Trade, 2485855.946, 220, B06, S03, 1
B06, Trade, 2486555.196, 220, B06, S05, 1
B06, Trade, 2486929.046, 220, B06, S03, 1
B06, Trade, 2487229.746, 220, B06, S00, 1
B06, Trade, 2487941.263, 220, B06, S02, 1
B06, Trade, 2488145.213, 220, B06, S00, 1
B06, Trade, 2488270.613, 220, B06, S02, 1
B06, Trade, 2488483.896, 220, B06, S03, 1
B06, Trade, 2488512.380, 220, B06, S04, 1
B06, Trade, 2489113.863, 220, B06, S03, 1
B06, Trade, 2490472.913, 220, B06, S03, 1
B06, Trade, 2490811.530, 220, B06, S05, 1
B06, Trade, 2491156.513, 220, B06, S00, 1
B06, Trade, 2506292.213, 220, B06, S00, 1
B06, Trade, 2508541.980, 218, B06, S04, 1
B06, Trade, 2509445.613, 220, B06, S02, 1
B06, Trade, 2510049.513, 218, B06, S02, 1
B06, Trade, 2514862.579, 220, B06, S01, 1
B06, Trade, 2516029.463, 220, B06, S03, 1
B06, Trade, 2516265.746, 220, B06, S02, 1
B06, Trade, 2517246.646, 220, B06, S00, 1
B06, Trade, 2517559.379, 220, B06, S01, 1
B06, Trade, 2527364.613, 217, B06, S00, 1
B06, Trade, 2527380.063, 220, B06, S02, 1
B06, Trade, 2527613.313, 220, B06, S02, 1
B06, Trade, 2527735.146, 219, B06, S03, 1
B06, Trade, 2529388.063, 220, B06, S00, 1
B06, Trade, 2529502.179, 219, B06, S03, 1
B06, Trade, 2534365.196, 219, B06, S04, 1
B06, Trade, 2540710.313, 220, B06, S03, 1
B06, Trade, 2545057.529, 218, B06, S00, 1
B06, Trade, 2557385.396, 216, B06, S04, 1
B06, Trade, 2557532.479, 220, B06, S03, 1
B06, Trade, 2558207.163, 219, B06, S00, 1
B06, Trade, 2558971.629, 220, B06, S04, 1
