B00, 0
B01, 0
B02, 3
B05, Trade, 2383612.297, 217, B05, S00, 1
B05, Trade, 2383777.213, 217, B05, S00, 1
B05, Trade, 2383914.813, 217, B05, S04, 1
B05, Trade, 2384018.847, 217, B05, S03, 1
B05, Trade, 2384064.947, 217, B05, S01, 1
B05, Trade, 2384186.997, 217, B05, S00, 1
B05, Trade, 2384291.113, 217, B05, S00, 1
B05, Trade, 2384845.897, 217, B05, S04, 1
B05, Trade, 2384897.047, 217, B05, S03, 1
B05, Trade, 2385001.913, 217, B05, S00, 1
B05, Trade, 2385137.713, 217, B05, S00, 1
B05, Trade, 2385441.547, 217, B05, S00, 1
B05, Trade, 2385592.513, 217, B05, S03, 1
B05, Trade, 2385753.297, 217, B05, S03, 1
B05, Trade, 2385911.813, 209, B05, S02, 1
B05, Trade, 2386079.680, 217, B05, S03, 1
B05, Trade, 2386256.863, 216, B05, S04, 1
B05, Trade, 2386281.313, 217, B05, S03, 1
B05, Trade, 2386348.197, 217, B05, S02, 1
B05, Trade, 2386485.447, 217, B05, S03, 1
B05, Trade, 2386515.163, 217, B05, S03, 1
B05, Trade, 2386562.380, 217, B05, S01, 1
B05, Trade, 2386654.830, 217, B05, S04, 1
B05, Trade, 2386723.847, 217, B05, S02, 1
B05, Trade, 2386894.647, 217, B05, S00, 1
B05, Trade, 2387025.663, 217, B05, S03, 1
B05, Trade, 2387265.930, 217, B05, S03, 1
B05, Trade, 2387508.180, 217, B05, S04, 1
B05, Trade, 2387737.397, 217, B05, S03, 1
B05, Trade, 2387840.680, 217, B05, S03, 1
B05, Trade, 2388155.830, 217, B05, S04, 1
B05, Trade, 2388228.613, 217, B05, S03, 1
B05, Trade, 2388546.297, 217, B05, S00, 1
B05, Trade, 2389042.580, 210, B05, S00, 1
B05, Trade, 2389077.447, 217, B05, S05, 1
B05, Trade, 2389215.313, 217, B05, S04, 1
B05, Trade, 2389320.430, 217, B05, S01, 1
B05, Trade, 2389397.630, 217, B05, S03, 1
B05, Trade, 2389708.197, 217, B05, S03, 1
B05, Trade, 2406360.680, 217, B05, S03, 1
B05, Trade, 2408520.797, 217, B05, S00, 1
B05, Trade, 2413056.080, 217, B05, S02, 1
B05, Trade, 2413529.247, 217, B05, S02, 1
B05, Trade, 2414821.780, 217, B05, S05, 1
B05, Trade, 2415369.047, 217, B05, S02, 1
B05, Trade, 2435979.980, 217, B05, S04, 1
B05, Trade, 2553276.046, 217, B05, S03, 1
B05, Trade, 2588521.663, 217, S03, B05, 1
B06, 100
B06, Trade, 2482124.963, 220, B06, S03, 1
B06, Trade, 2482296.513, 214, B06, S03, 1
B06, Trade, 2482596.813, 220, B06, S03, 1
B06, Trade, 2482898.963, 220, B06, S03, 1
B06, Trade, 2483025.930, 220, B06, S03, 1
B06, Trade, 2483070.663, 220, B06, S06, 1
B06, Trade, 2483689.413, 220, B06, S05, 1
B06, Trade, 2483805.713, 220, B06, S05, 1
B06, Trade, 2488703.896, 220, B06, S03, 1
B06, Trade, 2494533.613, 220, B06, S00, 1
B06, Trade, 2514523.263, 220, B06, S01, 1
B06, Trade, 2529853.296, 220, B06, S03, 1
B06, Trade, 2542562.963, 220, B06, S01, 1
B06, Trade, 2543579.879, 220, B06, S03, 1
B06, Trade, 2543897.396, 220, B06, S01, 1
B06, Trade, 2544568.263, 220, B06, S01, 1
B06, Trade, 2544579.546, 220, B06, S01, 1
B06, Trade, 2546846.363, 220, B06, S00, 1
B06, Trade, 2547096.829, 220, B06, S04, 1
B06, Trade, 2549549.179, 220, B06, S03, 1
B06, Trade, 2550111.796, 220, B06, S01, 1
B06, Trade, 2550716.463, 220, B06, S01, 1
B06, Trade, 2550818.479, 219, B06, S01, 1
B06, Trade, 2553318.379, 220, B06, S03, 1
B06, Trade, 2553343.146, 220, B06, S03, 1
B06, Trade, 2554863.713, 220, B06, S03, 1
B06, Trade, 2555375.296, 220, B06, S06, 1
B06, Trade, 2563556.646, 220, B06, S06, 1
B06, Trade, 2584901.696, 220, B06, S02, 1
B06, Trade, 2585101.963, 220, B06, S05, 1
B06, Trade, 2585158.063, 219, B06, S04, 1
B06, Trade, 2585218.263, 219, B06, S02, 1
B06, Trade, 2585312.546, 217, B06, S00, 1
B06, Trade, 2585340.579, 218, B06, S04, 1
B06, Trade, 2585364.796, 217, B06, S01, 1
B06, Trade, 2585498.596, 220, B06, S04, 1
B06, Trade, 2585536.713, 219, B06, S05, 1
B06, Trade, 2585639.829, 220, B06, S06, 1
B06, Trade, 2585843.579, 219, B06, S05, 1
B06, Trade, 2585928.879, 218, B06, S02, 1
B06, Trade, 2585934.713, 211, S01, B06, 1
B06, Trade, 2586035.946, 220, B06, S01, 1
B06, Trade, 2586130.463, 218, S01, B06, 1
B06, Trade, 2586179.113, 219, B06, S02, 1
B06, Trade, 2586195.713, 219, B06, S04, 1
B06, Trade, 2586433.829, 220, B06, S01, 1
B06, Trade, 2586772.413, 220, B06, S02, 1
B06, Trade, 2586792.063, 215, B06, S04, 1
B06, Trade, 2586899.296, 219, B06, S05, 1
B06, Trade, 2586982.713, 219, B06, S01, 1
B06, Trade, 2587005.713, 218, B06, S00, 1
B06, Trade, 2587102.713, 220, B06, S02, 1
B06, Trade, 2587201.463, 217, B06, S02, 1
B06, Trade, 2587228.613, 219, B06, S02, 1
B06, Trade, 2587344.429, 220, B06, S04, 1
B06, Trade, 2587347.446, 219, B06, S00, 1
B06, Trade, 2587436.146, 220, B06, S02, 1
B06, Trade, 2587607.096, 219, B06, S01, 1
B06, Trade, 2587663.896, 219, B06, S01, 1
B06, Trade, 2587782.013, 219, B06, S02, 1
B06, Trade, 2587868.379, 220, B06, S03, 1
B06, Trade, 2587923.596, 220, S06, B06, 1
B06, Trade, 2587967.629, 220, B06, S02, 1
B06, Trade, 2588124.513, 220, B06, S02, 1
B06, Trade, 2588472.463, 220, S05, B06, 1
B06, Trade, 2588580.713, 218, B06, S02, 1
B06, Trade, 2588760.863, 220, B06, S05, 1
B06, Trade, 2589086.629, 218, B06, S04, 1
B06, Trade, 2589250.446, 220, B06, S01, 1
B06, Trade, 2589491.279, 219, B06, S01, 1
B06, Trade, 2589508.313, 220, B06, S04, 1
B06, Trade, 2589542.363, 219, B06, S04, 1
B06, Trade, 2589566.929, 220, B06, S02, 1
B06, Trade, 2589619.413, 220, B06, S01, 1
B06, Trade, 2589676.096, 218, B06, S02, 1
B06, Trade, 2589731.346, 219, B06, S00, 1
B06, Trade, 2589777.479, 220, B06, S04, 1
B06, Trade, 2589815.596, 220, B06, S04, 1
B06, Trade, 2589907.396, 220, B06, S04, 1
B06, Trade, 2589984.829, 219, B06, S02, 1
B06, Trade, 2590057.879, 220, B06, S00, 1
B06, Trade, 2590172.696, 219, B06, S03, 1
B06, Trade, 2590200.713, 220, S06, B06, 1
B06, Trade, 2590444.513, 214, B06, S02, 1
B06, Trade, 2590494.246, 220, B06, S04, 1
B06, Trade, 2590600.596, 219, B06, S04, 1
B06, Trade, 2590728.963, 220, B06, S05, 1
B06, Trade, 2591086.646, 219, B06, S01, 1
B06, Trade, 2591205.379, 218, B06, S04, 1
B06, Trade, 2591223.596, 220, B06, S04, 1
B06, Trade, 2591292.713, 217, B06, S01, 1
B06, Trade, 2591389.713, 220, B06, S02, 1
B06, Trade, 2591426.979, 220, B06, S00, 1
B06, Trade, 2591430.463, 216, B06, S04, 1
B06, Trade, 2591454.329, 220, B06, S03, 1
B06, Trade, 2591532.496, 219, B06, S05, 1
B06, Trade, 2591625.879, 219, B06, S03, 1
B06, Trade, 2591761.879, 220, B06, S03, 1
B06, Trade, 2591828.413, 220, B06, S01, 1
B06, Trade, 2591972.063, 220, B06, S01, 1
B07, 100
B07, Trade, 2588474.129, 223, B07, S02, 1
B07, Trade, 2588520.129, 222, B07, S06, 1
B07, Trade, 2588530.096, 224, B07, S01, 1
B07, Trade, 2588619.046, 224, B07, S02, 1
B07, Trade, 2588628.496, 224, B07, S05, 1
B07, Trade, 2588685.896, 224, B07, S07, 1
B07, Trade, 2588730.496, 224, B07, S01, 1
B07, Trade, 2588733.563, 221, B07, S02, 1
B07, Trade, 2588750.079, 223, S06, B07, 1
B07, Trade, 2588760.946, 219, B07, S04, 1
B07, Trade, 2588778.563, 224, B07, S04, 1
B07, Trade, 2588821.296, 223, B07, S04, 1
B07, Trade, 2588864.446, 224, B07, S02, 1
B07, Trade, 2588888.996, 224, B07, S02, 1
B07, Trade, 2588911.063, 224, B07, S01, 1
B07, Trade, 2588968.179, 224, B07, S02, 1
B07, Trade, 2588979.863, 224, B07, S05, 1
B07, Trade, 2589038.613, 223, B07, S04, 1
B07, Trade, 2589086.279, 222, B07, S02, 1
B07, Trade, 2589112.246, 224, B07, S02, 1
B07, Trade, 2589134.596, 222, B07, S05, 1
B07, Trade, 2589174.429, 223, B07, S05, 1
