B00, 0
B01, 0
B02, 0
B05, Trade, 2265439.580, 67, B05, S00, 1
B05, Trade, 2267237.697, 67, B05, S02, 1
B05, Trade, 2312420.330, 67, B05, S03, 1
B05, Trade, 2331562.930, 67, B05, S02, 1
B05, Trade, 2361862.913, 67, B05, S05, 1
B05, Trade, 2362686.080, 67, B05, S02, 1
B05, Trade, 2363687.147, 67, B05, S01, 1
B05, Trade, 2379029.713, 67, B05, S00, 1
B05, Trade, 2382581.880, 67, B05, S05, 1
B05, Trade, 2426580.530, 67, B05, S00, 1
B05, Trade, 2429136.480, 67, B05, S01, 1
B05, Trade, 2432834.030, 67, B05, S02, 1
B05, Trade, 2490743.896, 67, B05, S04, 1
B05, Trade, 2574582.313, 67, B05, S00, 1
B06, 100
B06, Trade, 1949876.548, 69, B06, S03, 1
B06, Trade, 1957470.382, 70, B06, S03, 1
B06, Trade, 1979322.531, 67, B06, S03, 1
B06, Trade, 2009323.198, 69, B06, S02, 1
B06, Trade, 2017152.198, 69, B06, S00, 1
B06, Trade, 2018758.831, 70, B06, S00, 1
B06, Trade, 2033790.148, 70, B06, S03, 1
B06, Trade, 2034565.815, 70, B06, S05, 1
B06, Trade, 2036582.615, 70, B06, S00, 1
B06, Trade, 2041638.981, 70, B06, S04, 1
B06, Trade, 2041660.565, 70, B06, S05, 1
B06, Trade, 2041799.081, 70, B06, S04, 1
B06, Trade, 2043687.581, 70, B06, S04, 1
B06, Trade, 2044159.731, 70, B06, S05, 1
B06, Trade, 2053250.265, 68, B06, S01, 1
B06, Trade, 2071311.481, 67, B06, S03, 1
B06, Trade, 2076012.498, 70, B06, S03, 1
B06, Trade, 2077559.598, 70, B06, S03, 1
B06, Trade, 2080891.564, 70, B06, S04, 1
B06, Trade, 2081866.581, 70, B06, S04, 1
B06, Trade, 2082038.164, 70, B06, S03, 1
B06, Trade, 2082136.331, 70, B06, S00, 1
B06, Trade, 2082449.548, 70, B06, S03, 1
B06, Trade, 2082774.998, 70, B06, S00, 1
B06, Trade, 2083061.648, 70, B06, S04, 1
B06, Trade, 2083378.731, 70, B06, S05, 1
B06, Trade, 2083538.648, 70, B06, S01, 1
B06, Trade, 2083639.398, 70, B06, S04, 1
B06, Trade, 2084665.698, 70, B06, S02, 1
B06, Trade, 2085693.564, 70, B06, S00, 1
B06, Trade, 2086313.298, 70, B06, S02, 1
B06, Trade, 2086662.481, 70, B06, S04, 1
B06, Trade, 2087400.381, 70, B06, S04, 1
B06, Trade, 2087600.798, 70, B06, S03, 1
B06, Trade, 2089140.598, 69, B06, S02, 1
B06, Trade, 2089270.081, 69, B06, S02, 1
B06, Trade, 2091581.398, 69, B06, S00, 1
B06, Trade, 2091744.464, 69, B06, S04, 1
B06, Trade, 2091998.131, 69, B06, S02, 1
B06, Trade, 2093876.131, 69, B06, S02, 1
B06, Trade, 2094906.948, 69, B06, S00, 1
B06, Trade, 2100162.581, 70, B06, S02, 1
B06, Trade, 2116901.231, 69, B06, S00, 1
B06, Trade, 2117112.748, 70, B06, S00, 1
B06, Trade, 2117147.764, 70, B06, S01, 1
B06, Trade, 2117648.198, 70, B06, S01, 1
B06, Trade, 2118064.214, 70, B06, S02, 1
B06, Trade, 2118095.381, 70, B06, S04, 1
