B00, 0
B01, 1
B01, Trade, 826120.051, 53, B01, S00, 1
B02, 0
B03, 9
B03, Trade, 205159.767, 60, B03, S02, 1
B03, Trade, 205589.100, 60, B03, S03, 1
B03, Trade, 525126.550, 60, B03, S01, 1
B03, Trade, 583675.533, 60, B03, S02, 1
B03, Trade, 585089.917, 58, B03, S00, 1
B03, Trade, 667709.884, 60, B03, S00, 1
B03, Trade, 692848.784, 60, B03, S01, 1
B03, Trade, 823275.634, 60, B03, S00, 1
B03, Trade, 1814872.915, 60, B03, S00, 1
B04, 21
B04, Trade, 254109.367, 63, B04, S02, 1
B04, Trade, 296797.367, 63, B04, S02, 1
B04, Trade, 298960.733, 63, B04, S00, 1
B04, Trade, 299236.800, 63, B04, S02, 1
B04, Trade, 358187.317, 63, B04, S01, 1
B04, Trade, 358789.483, 63, B04, S03, 1
B04, Trade, 366182.783, 63, B04, S01, 1
B04, Trade, 379902.550, 63, B04, S02, 1
B04, Trade, 437955.067, 63, B04, S03, 1
B04, Trade, 520514.333, 63, B04, S01, 1
B04, Trade, 520881.800, 63, B04, S01, 1
B04, Trade, 1434060.184, 63, B04, S00, 1
B04, Trade, 1682333.816, 63, B04, S01, 1
B04, Trade, 1683468.883, 63, B04, S02, 1
B04, Trade, 1683831.633, 63, B04, S01, 1
B04, Trade, 1723866.266, 63, B04, S01, 1
B04, Trade, 1724166.166, 63, B04, S01, 1
B04, Trade, 1858528.682, 63, B04, S02, 1
B04, Trade, 1887439.248, 63, B04, S00, 1
B04, Trade, 1891750.648, 63, B04, S00, 1
B04, Trade, 1892174.782, 63, B04, S01, 1
B05, 100
B05, Trade, 821712.068, 67, B05, S04, 1
B05, Trade, 821763.101, 67, B05, S01, 1
B05, Trade, 822578.151, 67, B05, S00, 1
B05, Trade, 822882.468, 67, B05, S02, 1
B05, Trade, 822900.384, 67, B05, S04, 1
B05, Trade, 823270.668, 67, B05, S01, 1
B05, Trade, 824030.018, 67, B05, S04, 1
B05, Trade, 824094.851, 67, B05, S00, 1
B05, Trade, 824167.484, 67, B05, S01, 1
B05, Trade, 824564.151, 67, B05, S02, 1
B05, Trade, 824581.834, 67, B05, S02, 1
B05, Trade, 824971.768, 67, B05, S02, 1
B05, Trade, 825006.551, 67, B05, S04, 1
B05, Trade, 825140.084, 67, B05, S00, 1
B05, Trade, 825630.834, 67, B05, S02, 1
B05, Trade, 825668.751, 67, B05, S02, 1
B05, Trade, 825792.001, 67, B05, S02, 1
B05, Trade, 825967.834, 67, B05, S04, 1
B05, Trade, 826076.134, 67, B05, S04, 1
B05, Trade, 826160.184, 67, B05, S00, 1
B05, Trade, 826459.301, 67, B05, S04, 1
B05, Trade, 826660.784, 67, B05, S04, 1
B05, Trade, 826670.601, 67, B05, S01, 1
B05, Trade, 826852.518, 67, B05, S02, 1
B05, Trade, 827484.934, 67, B05, S00, 1
B05, Trade, 827529.584, 67, B05, S00, 1
B05, Trade, 827707.618, 67, B05, S04, 1
B05, Trade, 827734.418, 67, B05, S01, 1
B05, Trade, 827804.618, 67, B05, S02, 1
B05, Trade, 872987.018, 67, B05, S02, 1
B05, Trade, 876033.801, 67, B05, S02, 1
B05, Trade, 876978.834, 66, B05, S01, 1
B05, Trade, 892917.851, 67, B05, S04, 1
B05, Trade, 893807.651, 67, B05, S04, 1
B05, Trade, 896002.501, 67, B05, S01, 1
B05, Trade, 896233.884, 67, B05, S04, 1
