B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 617203.684, 59, B03, S01, 1
B03, Trade, 839515.668, 59, B03, S01, 1
B04, 7
B04, Trade, 586382.250, 63, B04, S02, 1
B04, Trade, 881134.401, 63, B04, S02, 1
B04, Trade, 1150585.735, 63, B04, S01, 1
B04, Trade, 1267319.234, 63, B04, S02, 1
B04, Trade, 1269824.034, 63, B04, S01, 1
B04, Trade, 2101970.364, 63, B04, S00, 1
B04, Trade, 2222229.097, 61, B04, S03, 1
B05, 61
B05, Trade, 68714.850, 67, B05, S03, 1
B05, Trade, 187413.333, 67, B05, S01, 1
B05, Trade, 188327.350, 65, B05, S01, 1
B05, Trade, 190317.600, 67, B05, S01, 1
B05, Trade, 190621.183, 67, B05, S01, 1
B05, Trade, 238329.283, 67, B05, S01, 1
B05, Trade, 242221.733, 67, B05, S03, 1
B05, Trade, 410657.017, 66, B05, S02, 1
B05, Trade, 410919.967, 66, B05, S00, 1
B05, Trade, 412991.033, 67, B05, S02, 1
B05, Trade, 412993.483, 66, B05, S04, 1
B05, Trade, 414020.150, 66, B05, S02, 1
B05, Trade, 415046.067, 67, B05, S03, 1
B05, Trade, 444873.917, 67, B05, S01, 1
B05, Trade, 464899.783, 67, B05, S01, 1
B05, Trade, 467394.667, 67, B05, S01, 1
B05, Trade, 642037.034, 67, B05, S02, 1
B05, Trade, 643700.384, 67, B05, S00, 1
B05, Trade, 644498.650, 67, B05, S02, 1
B05, Trade, 745867.451, 67, B05, S01, 1
B05, Trade, 770434.334, 67, B05, S01, 1
B05, Trade, 777864.517, 67, B05, S02, 1
B05, Trade, 778900.517, 67, B05, S03, 1
B05, Trade, 779463.834, 67, B05, S03, 1
B05, Trade, 779714.317, 67, B05, S03, 1
B05, Trade, 780339.867, 67, B05, S01, 1
B05, Trade, 781353.234, 67, B05, S02, 1
B05, Trade, 781404.501, 67, B05, S02, 1
B05, Trade, 781707.234, 67, B05, S01, 1
B05, Trade, 781997.401, 67, B05, S04, 1
B05, Trade, 783754.334, 67, B05, S01, 1
B05, Trade, 784425.901, 67, B05, S01, 1
B05, Trade, 785176.151, 67, B05, S01, 1
B05, Trade, 788686.117, 67, B05, S02, 1
B05, Trade, 794331.451, 67, B05, S03, 1
B05, Trade, 806548.367, 67, B05, S01, 1
B05, Trade, 807120.317, 67, B05, S00, 1
B05, Trade, 809953.584, 67, B05, S01, 1
B05, Trade, 811012.534, 67, B05, S02, 1
B05, Trade, 811193.284, 67, B05, S02, 1
B05, Trade, 812560.168, 67, B05, S00, 1
B05, Trade, 812664.584, 67, B05, S00, 1
B05, Trade, 813302.251, 67, B05, S01, 1
B05, Trade, 813476.084, 67, B05, S02, 1
B05, Trade, 967352.351, 67, B05, S01, 1
B05, Trade, 967709.318, 67, B05, S04, 1
B05, Trade, 968530.318, 66, B05, S04, 1
B05, Trade, 970136.918, 67, B05, S04, 1
B05, Trade, 971164.818, 67, B05, S03, 1
B05, Trade, 971929.368, 66, B05, S04, 1
B05, Trade, 1154930.735, 67, B05, S03, 1
B05, Trade, 1165954.851, 67, B05, S00, 1
B05, Trade, 1197382.034, 66, B05, S00, 1
B05, Trade, 1236063.351, 67, B05, S00, 1
B05, Trade, 1237847.084, 67, B05, S02, 1
B05, Trade, 1913061.032, 67, B05, S01, 1
B05, Trade, 1913172.982, 67, B05, S00, 1
B05, Trade, 2118550.064, 61, B05, S00, 1
B05, Trade, 2277719.430, 62, B05, S02, 1
B05, Trade, 2576317.946, 65, B05, S00, 1
B05, Trade, 2589185.779, 67, B05, S04, 1
B06, 100
B06, Trade, 1297718.784, 70, B06, S06, 1
B06, Trade, 1299231.284, 70, B06, S02, 1
B06, Trade, 1313684.601, 70, B06, S01, 1
B06, Trade, 1331508.801, 70, B06, S04, 1
B06, Trade, 1339280.034, 70, B06, S03, 1
B06, Trade, 1340079.017, 70, B06, S01, 1
B06, Trade, 1343260.184, 70, B06, S04, 1
B06, Trade, 1364021.167, 70, B06, S04, 1
B06, Trade, 1364081.067, 69, B06, S04, 1
B06, Trade, 1364490.900, 70, B06, S03, 1
B06, Trade, 1366570.300, 70, B06, S00, 1
B06, Trade, 1373062.184, 70, B06, S00, 1
B06, Trade, 1392247.934, 70, B06, S03, 1
B06, Trade, 1417304.217, 70, B06, S04, 1
B06, Trade, 1461835.383, 65, B06, S03, 1
B06, Trade, 1465375.933, 66, B06, S02, 1
B06, Trade, 1476969.900, 70, B06, S00, 1
B06, Trade, 1511969.050, 70, B06, S02, 1
B06, Trade, 1527030.816, 70, B06, S06, 1
B06, Trade, 1540325.883, 70, B06, S03, 1
B06, Trade, 1541057.400, 69, B06, S00, 1
B06, Trade, 1587512.766, 66, B06, S03, 1
B06, Trade, 1648121.616, 69, B06, S04, 1
B06, Trade, 1663381.999, 70, B06, S01, 1
B06, Trade, 1770449.132, 69, B06, S02, 1
B06, Trade, 1780083.899, 70, B06, S03, 1
B06, Trade, 1798917.349, 70, B06, S00, 1
B06, Trade, 1811567.932, 70, B06, S00, 1
B06, Trade, 1825244.765, 70, B06, S01, 1
B06, Trade, 1826272.382, 70, B06, S02, 1
B06, Trade, 1835081.615, 70, B06, S00, 1
B06, Trade, 1836255.365, 69, B06, S00, 1
B06, Trade, 1844472.282, 70, B06, S00, 1
B06, Trade, 1845655.499, 70, B06, S02, 1
B06, Trade, 1848333.782, 70, B06, S04, 1
B06, Trade, 1849046.915, 69, B06, S02, 1
B06, Trade, 1852109.215, 69, B06, S00, 1
B06, Trade, 1887884.282, 70, B06, S00, 1
B06, Trade, 1889435.082, 70, B06, S06, 1
B06, Trade, 1904485.165, 70, B06, S04, 1
B06, Trade, 1904692.132, 70, B06, S02, 1
B06, Trade, 1905505.498, 70, B06, S02, 1
B06, Trade, 1906389.382, 70, B06, S02, 1
B06, Trade, 1915971.482, 69, B06, S00, 1
B06, Trade, 1918842.815, 69, B06, S04, 1
B06, Trade, 1943429.482, 69, B06, S04, 1
B06, Trade, 1946716.915, 70, B06, S00, 1
B06, Trade, 1958093.282, 70, B06, S02, 1
B06, Trade, 1961433.665, 70, B06, S03, 1
B06, Trade, 1962626.548, 70, B06, S01, 1
B06, Trade, 1962778.232, 69, B06, S02, 1
B06, Trade, 1964025.848, 70, B06, S03, 1
B06, Trade, 1970484.632, 70, B06, S06, 1
B06, Trade, 1971576.398, 70, B06, S04, 1
B06, Trade, 1981059.498, 70, B06, S02, 1
B06, Trade, 2025575.231, 70, B06, S06, 1
B06, Trade, 2025737.298, 68, B06, S02, 1
B06, Trade, 2028004.615, 67, S03, B06, 1
B06, Trade, 2030176.665, 70, B06, S01, 1
B06, Trade, 2031235.465, 68, B06, S03, 1
B06, Trade, 2036022.981, 66, B06, S04, 1
B06, Trade, 2036274.448, 70, S06, B06, 1
B06, Trade, 2056508.415, 70, B06, S01, 1
B06, Trade, 2065996.464, 70, B06, S00, 1
B06, Trade, 2079607.148, 70, B06, S03, 1
B06, Trade, 2089359.714, 67, B06, S00, 1
B06, Trade, 2101970.164, 60, B06, S02, 1
B06, Trade, 2137466.681, 70, B06, S03, 1
B06, Trade, 2155080.397, 70, B06, S02, 1
B06, Trade, 2160333.997, 70, B06, S01, 1
B06, Trade, 2161664.564, 70, B06, S04, 1
B06, Trade, 2206095.897, 69, B06, S01, 1
B06, Trade, 2213338.097, 66, B06, S01, 1
B06, Trade, 2215157.297, 67, B06, S02, 1
B06, Trade, 2217028.414, 70, B06, S00, 1
B06, Trade, 2288690.380, 70, B06, S01, 1
B06, Trade, 2289223.647, 70, B06, S00, 1
B06, Trade, 2363952.547, 70, B06, S06, 1
B06, Trade, 2386885.180, 69, B06, S00, 1
B06, Trade, 2390388.480, 70, B06, S01, 1
B06, Trade, 2412813.130, 68, B06, S01, 1
B06, Trade, 2427676.330, 69, B06, S01, 1
B06, Trade, 2445869.096, 69, B06, S02, 1
B06, Trade, 2459309.463, 70, B06, S01, 1
B06, Trade, 2483198.780, 70, B06, S01, 1
B06, Trade, 2506308.213, 68, B06, S02, 1
B06, Trade, 2511339.229, 70, B06, S01, 1
B06, Trade, 2516500.346, 69, B06, S03, 1
B06, Trade, 2518294.813, 69, B06, S00, 1
