B00, 0
B01, 0
B02, 1
B02, Trade, 2061144.981, 56, B02, S00, 1
B03, 6
B03, Trade, 6.167, 59, B03, S02, 1
B03, Trade, 147366.767, 60, B03, S00, 1
B03, Trade, 473712.350, 60, B03, S03, 1
B03, Trade, 674348.634, 60, B03, S01, 1
B03, Trade, 708374.000, 60, B03, S01, 1
B03, Trade, 2460362.263, 60, B03, S00, 1
B04, 22
B04, Trade, 380029.317, 63, B04, S00, 1
B04, Trade, 478154.417, 63, B04, S02, 1
B04, Trade, 655546.717, 62, B04, S02, 1
B04, Trade, 655858.650, 61, B04, S03, 1
B04, Trade, 660440.717, 63, B04, S03, 1
B04, Trade, 661431.517, 63, B04, S02, 1
B04, Trade, 662266.667, 63, B04, S04, 1
B04, Trade, 662296.100, 63, B04, S03, 1
B04, Trade, 814584.684, 63, B04, S02, 1
B04, Trade, 922270.718, 63, B04, S03, 1
B04, Trade, 938176.468, 61, B04, S01, 1
B04, Trade, 1137013.385, 63, B04, S02, 1
B04, Trade, 1200344.818, 63, B04, S01, 1
B04, Trade, 1287053.467, 63, B04, S03, 1
B04, Trade, 1320292.917, 63, B04, S04, 1
B04, Trade, 1894830.948, 63, B04, S04, 1
B04, Trade, 2107787.748, 63, B04, S00, 1
B04, Trade, 2330316.630, 63, B04, S00, 1
B04, Trade, 2335327.113, 63, B04, S01, 1
B04, Trade, 2590661.846, 63, B04, S01, 1
B04, Trade, 2591140.213, 63, B04, S02, 1
B04, Trade, 2591627.313, 63, B04, S01, 1
B05, 100
B05, Trade, 464154.867, 67, B05, S03, 1
B05, Trade, 604082.567, 67, B05, S01, 1
B05, Trade, 617699.750, 67, B05, S02, 1
B05, Trade, 674560.884, 66, B05, S01, 1
B05, Trade, 709676.467, 64, B05, S01, 1
B05, Trade, 716567.317, 60, B05, S02, 1
B05, Trade, 717742.817, 63, B05, S00, 1
B05, Trade, 719805.917, 65, B05, S02, 1
B05, Trade, 750013.417, 67, B05, S05, 1
B05, Trade, 772682.317, 67, B05, S04, 1
