B00, 0
B01, 0
B02, 0
B03, 9
B05, Trade, 1171987.251, 67, B05, S01, 1
B05, Trade, 1172063.468, 67, B05, S02, 1
B05, Trade, 1180824.884, 67, B05, S04, 1
B05, Trade, 1182857.334, 67, B05, S04, 1
B05, Trade, 1184320.884, 67, B05, S01, 1
B05, Trade, 1184784.484, 67, B05, S01, 1
B05, Trade, 1214234.134, 67, B05, S04, 1
B05, Trade, 1285796.401, 67, B05, S02, 1
B05, Trade, 1321748.784, 67, B05, S03, 1
B05, Trade, 1323062.467, 66, B05, S02, 1
B05, Trade, 1323898.317, 67, B05, S02, 1
B05, Trade, 1327530.551, 62, B05, S01, 1
B05, Trade, 1342668.267, 66, B05, S01, 1
B05, Trade, 1374574.950, 67, B05, S01, 1
B05, Trade, 1447319.400, 67, B05, S03, 1
B05, Trade, 1449549.917, 66, B05, S01, 1
B05, Trade, 1449742.250, 67, B05, S01, 1
B05, Trade, 1450237.450, 67, B05, S01, 1
B05, Trade, 1452082.250, 67, B05, S02, 1
B05, Trade, 1456715.800, 67, B05, S03, 1
B05, Trade, 1475031.217, 67, B05, S01, 1
B05, Trade, 1476149.500, 67, B05, S02, 1
B05, Trade, 1476224.883, 67, B05, S01, 1
B05, Trade, 1476498.083, 66, B05, S02, 1
B05, Trade, 1476537.167, 67, B05, S03, 1
B05, Trade, 1478335.850, 66, B05, S02, 1
B05, Trade, 1482419.400, 67, B05, S03, 1
B05, Trade, 1484190.367, 66, B05, S01, 1
B05, Trade, 1484600.450, 67, B05, S03, 1
B05, Trade, 1486661.383, 66, B05, S01, 1
B05, Trade, 1486965.650, 67, B05, S02, 1
B05, Trade, 1488283.950, 67, B05, S03, 1
B05, Trade, 1489176.083, 67, B05, S03, 1
B05, Trade, 1513459.417, 67, B05, S02, 1
B05, Trade, 1513908.367, 67, B05, S02, 1
B05, Trade, 1514694.683, 67, B05, S01, 1
B05, Trade, 1514930.517, 67, B05, S01, 1
B05, Trade, 1515660.500, 66, B05, S01, 1
B05, Trade, 1518802.100, 67, B05, S04, 1
B05, Trade, 1527359.633, 67, B05, S02, 1
B05, Trade, 1535580.300, 67, B05, S02, 1
B05, Trade, 1540900.916, 66, B05, S02, 1
B05, Trade, 1547799.650, 66, B05, S01, 1
B05, Trade, 1557889.950, 67, B05, S01, 1
B05, Trade, 1847663.465, 67, B05, S04, 1
B05, Trade, 1918397.532, 64, B05, S03, 1
B05, Trade, 1983520.931, 67, B05, S03, 1
B05, Trade, 2050780.431, 66, B05, S03, 1
B05, Trade, 2405901.113, 67, B05, S01, 1
B05, Trade, 2445470.046, 67, B05, S02, 1
B06, 100
B06, Trade, 1145798.868, 68, B06, S03, 1
B06, Trade, 1149819.535, 68, B06, S01, 1
B06, Trade, 1151485.685, 70, B06, S01, 1
B06, Trade, 1152625.968, 69, B06, S04, 1
B06, Trade, 1153839.418, 69, B06, S02, 1
B06, Trade, 1153944.351, 70, B06, S03, 1
B06, Trade, 1154123.501, 68, B06, S02, 1
B06, Trade, 1154925.001, 69, B06, S04, 1
B06, Trade, 1155332.585, 70, B06, S02, 1
B06, Trade, 1158773.701, 67, S03, B06, 1
B06, Trade, 1158896.685, 64, B06, S03, 1
B06, Trade, 1159286.785, 70, B06, S01, 1
B06, Trade, 1159368.118, 68, B06, S01, 1
B06, Trade, 1161026.885, 68, B06, S02, 1
B06, Trade, 1161177.151, 70, B06, S02, 1
B06, Trade, 1163045.235, 70, B06, S03, 1
B06, Trade, 1164671.868, 70, B06, S03, 1
B06, Trade, 1164725.685, 70, B06, S03, 1
B06, Trade, 1166616.318, 69, B06, S01, 1
B06, Trade, 1168278.268, 68, B06, S03, 1
B06, Trade, 1169697.118, 67, B06, S04, 1
B06, Trade, 1172624.501, 70, B06, S03, 1
B06, Trade, 1173502.884, 70, B06, S02, 1
B06, Trade, 1173577.301, 70, B06, S04, 1
B06, Trade, 1176645.584, 70, B06, S03, 1
B06, Trade, 1180370.484, 68, B06, S01, 1
B06, Trade, 1183204.484, 70, B06, S01, 1
B06, Trade, 1185386.934, 69, B06, S02, 1
B06, Trade, 1186959.184, 70, B06, S06, 1
B06, Trade, 1199992.118, 67, S01, B06, 1
B06, Trade, 1201000.601, 68, B06, S01, 1
B06, Trade, 1201036.034, 70, B06, S02, 1
B06, Trade, 1214258.101, 69, B06, S02, 1
B06, Trade, 1214965.101, 69, B06, S01, 1
B06, Trade, 1221116.801, 64, B06, S03, 1
B06, Trade, 1222505.284, 69, B06, S03, 1
B06, Trade, 1261665.117, 70, B06, S04, 1
B06, Trade, 1284446.451, 70, B06, S00, 1
B06, Trade, 1320023.917, 70, B06, S02, 1
B06, Trade, 1324510.417, 70, B06, S03, 1
B06, Trade, 1332261.934, 68, B06, S01, 1
B06, Trade, 1333805.784, 67, B06, S01, 1
B06, Trade, 1334500.901, 68, B06, S04, 1
B06, Trade, 1337941.517, 70, B06, S02, 1
B06, Trade, 1339111.567, 70, B06, S02, 1
B06, Trade, 1339215.601, 67, B06, S02, 1
B06, Trade, 1341563.301, 68, B06, S02, 1
B06, Trade, 1344340.351, 70, B06, S02, 1
B06, Trade, 1391869.167, 68, B06, S02, 1
B06, Trade, 1394344.317, 69, B06, S01, 1
B06, Trade, 1406657.950, 70, B06, S03, 1
B06, Trade, 1407749.967, 68, B06, S02, 1
B06, Trade, 1409059.684, 70, B06, S02, 1
B06, Trade, 1409921.334, 69, B06, S01, 1
B06, Trade, 1417929.534, 68, B06, S03, 1
B06, Trade, 1433587.284, 70, B06, S03, 1
B06, Trade, 1446413.433, 69, B06, S01, 1
B06, Trade, 1446761.150, 70, B06, S02, 1
B06, Trade, 1450428.450, 68, B06, S02, 1
B06, Trade, 1454920.983, 67, B06, S02, 1
B06, Trade, 1458791.217, 70, B06, S02, 1
B06, Trade, 1460241.650, 70, B06, S06, 1
B06, Trade, 1478335.450, 67, B06, S01, 1
B06, Trade, 1482332.050, 67, B06, S01, 1
B06, Trade, 1482419.567, 70, B06, S02, 1
B06, Trade, 1484991.917, 69, B06, S03, 1
B06, Trade, 1488051.167, 70, B06, S03, 1
B06, Trade, 1490288.733, 69, B06, S02, 1
B06, Trade, 1496166.317, 70, B06, S01, 1
B06, Trade, 1529881.233, 69, B06, S03, 1
B06, Trade, 1533232.016, 68, B06, S02, 1
B06, Trade, 1668207.983, 70, B06, S06, 1
B06, Trade, 1671068.733, 70, B06, S01, 1
B06, Trade, 1673133.383, 70, B06, S02, 1
B06, Trade, 1673420.133, 70, B06, S02, 1
B06, Trade, 1674200.116, 69, B06, S02, 1
B06, Trade, 1675032.783, 69, B06, S02, 1
B06, Trade, 1676305.049, 70, B06, S01, 1
B06, Trade, 1676838.099, 70, B06, S01, 1
B06, Trade, 1719924.466, 70, B06, S01, 1
B06, Trade, 1789108.299, 70, B06, S02, 1
B06, Trade, 1824928.232, 70, B06, S02, 1
B06, Trade, 1900609.715, 70, B06, S04, 1
B06, Trade, 1902766.432, 70, B06, S03, 1
B06, Trade, 1904587.282, 70, B06, S02, 1
B06, Trade, 1905112.198, 68, B06, S02, 1
B06, Trade, 1906514.115, 69, B06, S02, 1
B06, Trade, 1908015.382, 70, B06, S03, 1
B06, Trade, 1913955.615, 70, B06, S01, 1
B06, Trade, 1937052.115, 70, B06, S02, 1
B06, Trade, 1940652.532, 70, B06, S01, 1
B06, Trade, 1940794.765, 70, B06, S01, 1
B06, Trade, 1957222.048, 70, B06, S03, 1
B06, Trade, 2046806.981, 69, B06, S02, 1
B06, Trade, 2048440.115, 70, B06, S00, 1
B06, Trade, 2057666.781, 70, B06, S00, 1
B06, Trade, 2221948.747, 70, B06, S02, 1
B06, Trade, 2324999.997, 70, B06, S01, 1
B06, Trade, 2547576.763, 68, B06, S03, 1
B06, Trade, 2586340.463, 69, B06, S02, 1
B07, 100
B07, Trade, 2277242.080, 74, B07, S06, 1
B07, Trade, 2277354.764, 74, B07, S00, 1
B07, Trade, 2278588.030, 74, B07, S02, 1
B07, Trade, 2285000.764, 73, B07, S04, 1
B07, Trade, 2297368.180, 72, B07, S04, 1
B07, Trade, 2300891.297, 72, B07, S04, 1
B07, Trade, 2302337.014, 72, B07, S01, 1
B07, Trade, 2313538.814, 74, B07, S04, 1
B07, Trade, 2318684.130, 74, B07, S00, 1
B07, Trade, 2324867.030, 74, B07, S02, 1
B07, Trade, 2325484.647, 74, B07, S06, 1
B07, Trade, 2388026.180, 73, B07, S00, 1
B07, Trade, 2396300.913, 72, B07, S02, 1
B07, Trade, 2397638.813, 72, B07, S04, 1
B07, Trade, 2398614.963, 72, B07, S00, 1
B07, Trade, 2399042.830, 71, B07, S03, 1
B07, Trade, 2405900.230, 71, B07, S02, 1
B07, Trade, 2407233.913, 72, B07, S03, 1
B07, Trade, 2407354.780, 72, B07, S01, 1
B07, Trade, 2409345.180, 72, B07, S00, 1
B07, Trade, 2414226.113, 72, B07, S04, 1
B07, Trade, 2417176.713, 72, B07, S02, 1
B07, Trade, 2418678.180, 71, B07, S01, 1
B07, Trade, 2418779.263, 72, B07, S01, 1
B07, Trade, 2421273.030, 73, B07, S00, 1
B07, Trade, 2426305.630, 73, B07, S04, 1
B07, Trade, 2439942.830, 72, B07, S02, 1
B07, Trade, 2441931.446, 71, B07, S04, 1
B07, Trade, 2448512.213, 71, B07, S00, 1
B07, Trade, 2449369.363, 72, B07, S02, 1
B07, Trade, 2454659.613, 72, B07, S02, 1
B07, Trade, 2455905.096, 72, B07, S02, 1
B07, Trade, 2463463.580, 72, B07, S02, 1
B07, Trade, 2466138.463, 72, B07, S03, 1
B07, Trade, 2469138.430, 72, B07, S01, 1
B07, Trade, 2470122.863, 73, B07, S00, 1
B07, Trade, 2470416.596, 73, B07, S02, 1
B07, Trade, 2471078.413, 73, B07, S03, 1
B07, Trade, 2472420.180, 73, B07, S03, 1
B07, Trade, 2473639.530, 73, B07, S02, 1
B07, Trade, 2474722.180, 73, B07, S00, 1
