B00, 0
B01, 0
B02, 1
B02, Trade, 263720.633, 56, B02, S01, 1
B03, 1
B03, Trade, 2094877.198, 60, B03, S00, 1
B04, 6
B04, Trade, 259728.783, 63, B04, S02, 1
B04, Trade, 276727.300, 63, B04, S00, 1
B04, Trade, 278039.100, 63, B04, S00, 1
B04, Trade, 280708.400, 63, B04, S02, 1
B04, Trade, 341920.683, 63, B04, S00, 1
B04, Trade, 342223.317, 63, B04, S00, 1
B05, 50
B05, Trade, 94661.150, 67, B05, S04, 1
B05, Trade, 253370.667, 67, B05, S04, 1
B05, Trade, 386301.400, 67, B05, S00, 1
B05, Trade, 390713.650, 67, B05, S05, 1
B05, Trade, 391638.100, 67, B05, S01, 1
B05, Trade, 391825.417, 67, B05, S02, 1
B05, Trade, 392600.800, 67, B05, S00, 1
B05, Trade, 393165.800, 67, B05, S03, 1
B05, Trade, 410908.783, 67, B05, S01, 1
B05, Trade, 411146.583, 67, B05, S02, 1
B05, Trade, 415385.150, 67, B05, S01, 1
B05, Trade, 417992.100, 66, B05, S03, 1
B05, Trade, 422007.833, 67, B05, S04, 1
B05, Trade, 422154.517, 67, B05, S02, 1
B05, Trade, 424744.183, 67, B05, S01, 1
B05, Trade, 521309.500, 67, B05, S01, 1
B05, Trade, 662646.984, 67, B05, S03, 1
B05, Trade, 787224.067, 67, B05, S05, 1
B05, Trade, 787554.451, 67, B05, S03, 1
B05, Trade, 788974.867, 67, B05, S03, 1
B05, Trade, 893274.451, 66, B05, S02, 1
B05, Trade, 1040758.785, 67, B05, S02, 1
B05, Trade, 1194613.884, 67, B05, S02, 1
B05, Trade, 1392230.467, 67, B05, S04, 1
B05, Trade, 1403185.517, 67, B05, S04, 1
B05, Trade, 1415675.050, 67, B05, S02, 1
B05, Trade, 1456215.983, 67, B05, S01, 1
B05, Trade, 1843995.549, 67, B05, S02, 1
B05, Trade, 1845869.649, 67, B05, S01, 1
B05, Trade, 1847886.532, 67, B05, S04, 1
B05, Trade, 1848838.415, 67, B05, S01, 1
B05, Trade, 1849249.882, 67, B05, S03, 1
B05, Trade, 1855069.599, 67, B05, S03, 1
B05, Trade, 1873960.899, 67, B05, S01, 1
B05, Trade, 1892020.998, 67, B05, S01, 1
B05, Trade, 1922831.632, 67, B05, S02, 1
B05, Trade, 2038828.815, 67, B05, S01, 1
B05, Trade, 2242709.680, 67, B05, S02, 1
B05, Trade, 2242741.997, 67, B05, S00, 1
B05, Trade, 2244223.097, 67, B05, S00, 1
B05, Trade, 2245470.597, 67, B05, S03, 1
B05, Trade, 2256242.847, 67, B05, S04, 1
B05, Trade, 2282675.247, 67, B05, S03, 1
B05, Trade, 2284125.280, 67, B05, S02, 1
B05, Trade, 2285296.997, 67, B05, S02, 1
B05, Trade, 2287637.064, 67, B05, S01, 1
B05, Trade, 2301232.164, 67, B05, S01, 1
B05, Trade, 2324499.164, 63, B05, S00, 1
B05, Trade, 2348470.097, 67, B05, S00, 1
B05, Trade, 2460615.380, 67, B05, S04, 1
B06, 100
B06, Trade, 2288866.114, 70, B06, S05, 1
B06, Trade, 2288896.814, 70, B06, S00, 1
B06, Trade, 2289049.380, 70, B06, S04, 1
B06, Trade, 2289283.997, 69, B06, S05, 1
B06, Trade, 2289542.530, 70, B06, S00, 1
B06, Trade, 2298606.714, 70, B06, S05, 1
B06, Trade, 2301053.497, 70, B06, S04, 1
B06, Trade, 2301229.014, 70, B06, S04, 1
B06, Trade, 2302501.864, 70, B06, S04, 1
B06, Trade, 2305571.897, 70, B06, S04, 1
B06, Trade, 2310825.714, 70, B06, S04, 1
B06, Trade, 2318828.847, 70, B06, S05, 1
B06, Trade, 2319982.864, 70, B06, S00, 1
B06, Trade, 2320244.447, 70, B06, S05, 1
B06, Trade, 2320608.630, 70, B06, S00, 1
B06, Trade, 2320733.380, 70, B06, S01, 1
B06, Trade, 2321115.447, 70, B06, S04, 1
B06, Trade, 2321147.880, 70, B06, S02, 1
B06, Trade, 2321301.197, 70, B06, S01, 1
B06, Trade, 2321481.864, 70, B06, S05, 1
B06, Trade, 2321938.414, 70, B06, S01, 1
B06, Trade, 2323483.997, 70, B06, S00, 1
B06, Trade, 2323772.764, 70, B06, S05, 1
B06, Trade, 2324319.597, 70, B06, S01, 1
B06, Trade, 2324478.630, 70, B06, S02, 1
B06, Trade, 2324498.264, 70, B06, S04, 1
B06, Trade, 2324971.697, 70, B06, S00, 1
B06, Trade, 2325432.864, 70, B06, S02, 1
B06, Trade, 2325864.314, 70, B06, S01, 1
B06, Trade, 2326119.397, 70, B06, S04, 1
B06, Trade, 2327106.414, 70, B06, S00, 1
B06, Trade, 2327468.397, 70, B06, S02, 1
B06, Trade, 2327492.347, 70, B06, S00, 1
B06, Trade, 2327972.580, 70, B06, S05, 1
B06, Trade, 2328151.347, 70, B06, S01, 1
B06, Trade, 2328319.980, 70, B06, S00, 1
B06, Trade, 2328910.664, 70, B06, S05, 1
B06, Trade, 2329386.314, 70, B06, S00, 1
B06, Trade, 2329450.630, 70, B06, S02, 1
B06, Trade, 2331914.247, 70, B06, S02, 1
B06, Trade, 2332013.363, 70, B06, S05, 1
B06, Trade, 2332281.330, 70, B06, S02, 1
B06, Trade, 2332336.997, 70, B06, S05, 1
B06, Trade, 2347214.697, 70, B06, S00, 1
B06, Trade, 2347302.780, 70, B06, S00, 1
B06, Trade, 2347900.047, 70, B06, S01, 1
B06, Trade, 2348048.297, 70, B06, S01, 1
B06, Trade, 2348814.580, 70, B06, S04, 1
B06, Trade, 2348840.580, 70, B06, S00, 1
B06, Trade, 2349492.763, 70, B06, S01, 1
B06, Trade, 2349590.747, 70, B06, S03, 1
B06, Trade, 2350062.930, 70, B06, S03, 1
B06, Trade, 2350148.563, 70, B06, S00, 1
B06, Trade, 2350766.130, 70, B06, S00, 1
B06, Trade, 2350984.413, 70, B06, S01, 1
B06, Trade, 2351387.147, 70, B06, S01, 1
B06, Trade, 2351411.263, 70, B06, S03, 1
B06, Trade, 2351616.513, 70, B06, S04, 1
B06, Trade, 2351753.180, 70, B06, S04, 1
B06, Trade, 2352179.513, 68, B06, S03, 1
B06, Trade, 2352492.897, 70, B06, S00, 1
B06, Trade, 2353005.080, 70, B06, S01, 1
B06, Trade, 2353082.630, 70, B06, S04, 1
B06, Trade, 2353903.680, 70, B06, S00, 1
B06, Trade, 2362303.913, 70, B06, S02, 1
B06, Trade, 2363434.163, 70, B06, S02, 1
B06, Trade, 2367933.797, 70, B06, S01, 1
B06, Trade, 2368216.930, 70, B06, S05, 1
B06, Trade, 2368569.313, 70, B06, S06, 1
B06, Trade, 2395192.863, 70, B06, S00, 1
B06, Trade, 2401553.630, 70, B06, S00, 1
B06, Trade, 2440827.180, 70, B06, S01, 1
B06, Trade, 2441253.813, 70, B06, S05, 1
B06, Trade, 2441678.730, 70, B06, S02, 1
B06, Trade, 2448551.330, 70, B06, S04, 1
B06, Trade, 2449753.713, 70, B06, S05, 1
B06, Trade, 2449797.946, 70, B06, S04, 1
B06, Trade, 2451243.213, 70, B06, S02, 1
B06, Trade, 2452154.713, 70, B06, S03, 1
B06, Trade, 2453158.213, 70, B06, S01, 1
B06, Trade, 2453737.280, 69, B06, S01, 1
B06, Trade, 2453949.496, 70, B06, S01, 1
B06, Trade, 2454860.663, 70, B06, S00, 1
B06, Trade, 2459236.813, 70, B06, S06, 1
B06, Trade, 2460209.563, 70, B06, S01, 1
B06, Trade, 2461357.663, 70, B06, S00, 1
B06, Trade, 2510224.663, 70, B06, S04, 1
B06, Trade, 2578773.779, 69, B06, S04, 1
B06, Trade, 2580191.696, 70, B06, S01, 1
B06, Trade, 2580263.329, 70, B06, S03, 1
B06, Trade, 2580719.213, 70, B06, S01, 1
B06, Trade, 2581296.113, 70, B06, S01, 1
B06, Trade, 2581314.163, 70, B06, S02, 1
B06, Trade, 2581353.529, 70, B06, S03, 1
B06, Trade, 2581512.346, 69, B06, S01, 1
B06, Trade, 2581687.363, 70, B06, S04, 1
B06, Trade, 2581816.763, 69, B06, S03, 1
B06, Trade, 2582198.446, 70, B06, S02, 1
B06, Trade, 2583694.196, 69, B06, S02, 1
B06, Trade, 2584605.496, 69, B06, S01, 1
B07, 100
B07, Trade, 2448172.030, 74, B07, S03, 1
B07, Trade, 2448267.146, 74, B07, S00, 1
B07, Trade, 2448453.630, 74, B07, S03, 1
B07, Trade, 2448549.580, 74, B07, S01, 1
B07, Trade, 2448586.696, 74, B07, S01, 1
B07, Trade, 2448720.896, 74, B07, S03, 1
B07, Trade, 2448877.880, 74, B07, S02, 1
B07, Trade, 2449010.430, 74, B07, S00, 1
B07, Trade, 2449394.530, 74, B07, S03, 1
B07, Trade, 2449444.313, 74, B07, S03, 1
B07, Trade, 2449466.530, 74, B07, S01, 1
B07, Trade, 2449753.146, 74, B07, S03, 1
B07, Trade, 2449892.846, 74, B07, S04, 1
B07, Trade, 2449954.046, 74, B07, S03, 1
B07, Trade, 2450267.380, 74, B07, S04, 1
B07, Trade, 2450539.146, 74, B07, S04, 1
B07, Trade, 2450858.530, 74, B07, S00, 1
B07, Trade, 2451136.396, 74, B07, S03, 1
B07, Trade, 2451165.096, 74, B07, S00, 1
B07, Trade, 2451262.163, 74, B07, S05, 1
B07, Trade, 2451320.880, 74, B07, S04, 1
B07, Trade, 2451363.346, 74, B07, S02, 1
B07, Trade, 2451392.730, 74, B07, S05, 1
B07, Trade, 2451482.730, 74, B07, S05, 1
B07, Trade, 2451591.213, 74, B07, S03, 1
B07, Trade, 2451718.096, 74, B07, S00, 1
B07, Trade, 2451754.213, 74, B07, S00, 1
B07, Trade, 2451888.880, 74, B07, S02, 1
B07, Trade, 2451910.430, 74, B07, S02, 1
B07, Trade, 2452124.413, 74, B07, S05, 1
B07, Trade, 2452154.196, 74, B07, S05, 1
B07, Trade, 2452391.763, 74, B07, S00, 1
B07, Trade, 2452461.996, 74, B07, S00, 1
B07, Trade, 2452505.963, 74, B07, S00, 1
B07, Trade, 2452704.446, 73, B07, S04, 1
B07, Trade, 2452834.246, 74, B07, S04, 1
B07, Trade, 2452981.863, 74, B07, S05, 1
B07, Trade, 2453078.463, 74, B07, S00, 1
B07, Trade, 2453148.963, 74, B07, S04, 1
B07, Trade, 2453157.080, 74, B07, S00, 1
B07, Trade, 2453247.596, 74, B07, S03, 1
B07, Trade, 2453308.430, 74, B07, S00, 1
B07, Trade, 2453608.396, 74, B07, S04, 1
B07, Trade, 2453668.313, 74, B07, S01, 1
B07, Trade, 2453707.146, 74, B07, S04, 1
B07, Trade, 2453741.663, 74, B07, S00, 1
B07, Trade, 2453752.196, 74, B07, S04, 1
B07, Trade, 2453823.613, 74, B07, S00, 1
B07, Trade, 2454012.363, 74, B07, S01, 1
B07, Trade, 2454073.146, 74, B07, S00, 1
B07, Trade, 2454245.646, 74, B07, S00, 1
B07, Trade, 2454449.730, 74, B07, S02, 1
B07, Trade, 2454627.763, 74, B07, S05, 1
B07, Trade, 2454854.913, 74, B07, S00, 1
B07, Trade, 2454860.463, 71, B07, S04, 1
B07, Trade, 2454930.696, 74, B07, S00, 1
B07, Trade, 2455009.546, 74, B07, S00, 1
B07, Trade, 2455169.063, 74, B07, S01, 1
B07, Trade, 2455202.063, 74, B07, S05, 1
B07, Trade, 2455674.613, 74, B07, S02, 1
B07, Trade, 2455861.813, 74, B07, S02, 1
B07, Trade, 2456008.130, 74, B07, S06, 1
B07, Trade, 2456335.663, 74, B07, S03, 1
