B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 1752707.782, 60, B03, S01, 1
B04, 3
B04, Trade, 419111.467, 63, B04, S01, 1
B04, Trade, 1537973.683, 63, B04, S00, 1
B04, Trade, 2411299.880, 63, B04, S02, 1
B05, 25
B05, Trade, 74964.917, 67, B05, S05, 1
B05, Trade, 302741.667, 67, B05, S01, 1
B05, Trade, 305552.583, 67, B05, S05, 1
B05, Trade, 340691.150, 67, B05, S02, 1
B05, Trade, 393214.400, 67, B05, S05, 1
B05, Trade, 473363.250, 67, B05, S02, 1
B05, Trade, 497685.600, 67, B05, S04, 1
B05, Trade, 502112.617, 66, B05, S02, 1
B05, Trade, 507957.700, 67, B05, S02, 1
B05, Trade, 509911.100, 67, B05, S00, 1
B05, Trade, 886110.934, 67, B05, S03, 1
B05, Trade, 890596.951, 67, B05, S05, 1
B05, Trade, 916880.335, 67, B05, S03, 1
B05, Trade, 1163804.451, 67, B05, S00, 1
B05, Trade, 1196840.801, 67, B05, S02, 1
B05, Trade, 1197266.834, 67, B05, S02, 1
B05, Trade, 1198646.584, 67, B05, S05, 1
B05, Trade, 1199755.434, 67, B05, S03, 1
B05, Trade, 1918161.782, 67, B05, S01, 1
B05, Trade, 2015875.798, 67, B05, S02, 1
B05, Trade, 2387680.263, 67, B05, S02, 1
B05, Trade, 2389519.430, 67, B05, S01, 1
B05, Trade, 2411299.480, 65, B05, S01, 1
B05, Trade, 2497251.713, 66, B05, S00, 1
B05, Trade, 2497821.596, 67, B05, S00, 1
B06, 100
B06, Trade, 1195979.284, 70, B06, S05, 1
B06, Trade, 1196249.834, 70, B06, S02, 1
B06, Trade, 1196271.801, 70, B06, S01, 1
B06, Trade, 1196923.901, 70, B06, S04, 1
B06, Trade, 1196944.334, 70, B06, S02, 1
B06, Trade, 1197075.084, 70, B06, S05, 1
B06, Trade, 1197276.718, 70, B06, S00, 1
B06, Trade, 1197328.634, 70, B06, S03, 1
B06, Trade, 1197533.884, 70, B06, S05, 1
B06, Trade, 1197554.534, 70, B06, S02, 1
B06, Trade, 1197961.084, 70, B06, S02, 1
B06, Trade, 1198006.751, 70, B06, S05, 1
B06, Trade, 1198076.851, 70, B06, S05, 1
B06, Trade, 1198361.668, 70, B06, S03, 1
B06, Trade, 1198502.368, 70, B06, S00, 1
B06, Trade, 1198538.451, 70, B06, S05, 1
B06, Trade, 1198804.768, 70, B06, S03, 1
B06, Trade, 1198915.368, 70, B06, S00, 1
B06, Trade, 1199068.268, 70, B06, S00, 1
B06, Trade, 1199263.168, 70, B06, S03, 1
B06, Trade, 1199360.551, 70, B06, S05, 1
B06, Trade, 1199388.201, 70, B06, S03, 1
