B00, 100
B01, Trade, 2591084.063, 150, B01, S23, 1
B01, Trade, 2591095.963, 100, S17, B01, 1
B01, Trade, 2591109.763, 101, S27, B01, 1
B01, Trade, 2591117.346, 150, B01, S18, 1
B01, Trade, 2591130.963, 150, B01, S19, 1
B01, Trade, 2591139.496, 150, B01, S06, 1
B01, Trade, 2591148.829, 102, B01, S14, 1
B01, Trade, 2591162.513, 149, B01, S03, 1
B01, Trade, 2591188.196, 100, S27, B01, 1
B01, Trade, 2591197.829, 103, B01, S09, 1
B01, Trade, 2591214.496, 102, S23, B01, 1
B01, Trade, 2591238.113, 150, B01, S25, 1
B01, Trade, 2591244.229, 108, S18, B01, 1
B01, Trade, 2591255.313, 148, B01, S19, 1
B01, Trade, 2591268.679, 150, B01, S20, 1
B01, Trade, 2591274.146, 150, B01, S13, 1
B01, Trade, 2591286.029, 150, B01, S04, 1
B01, Trade, 2591295.529, 100, S28, B01, 1
B01, Trade, 2591311.229, 150, B01, S02, 1
B01, Trade, 2591315.263, 117, B01, S00, 1
B01, Trade, 2591333.013, 100, S27, B01, 1
B01, Trade, 2591339.813, 122, B01, S04, 1
B01, Trade, 2591356.029, 150, B01, S20, 1
B01, Trade, 2591367.446, 150, B01, S06, 1
B01, Trade, 2591378.479, 149, B01, S28, 1
B01, Trade, 2591391.479, 150, B01, S09, 1
B01, Trade, 2591406.229, 103, S03, B01, 1
B01, Trade, 2591409.363, 150, B01, S04, 1
B01, Trade, 2591419.446, 150, B01, S04, 1
B01, Trade, 2591430.946, 100, B01, S07, 1
B01, Trade, 2591440.813, 150, B01, S21, 1
B01, Trade, 2591449.029, 133, B01, S09, 1
B01, Trade, 2591461.246, 102, B01, S23, 1
B01, Trade, 2591464.279, 138, B01, S03, 1
B01, Trade, 2591484.079, 100, S18, B01, 1
B01, Trade, 2591503.646, 104, B01, S13, 1
B01, Trade, 2591508.246, 150, B01, S04, 1
B01, Trade, 2591525.996, 150, B01, S23, 1
B01, Trade, 2591546.129, 150, B01, S22, 1
B01, Trade, 2591558.163, 150, B01, S28, 1
B01, Trade, 2591576.446, 150, B01, S09, 1
B01, Trade, 2591581.813, 137, B01, S19, 1
B01, Trade, 2591590.429, 100, S25, B01, 1
B01, Trade, 2591610.713, 150, B01, S19, 1
B01, Trade, 2591623.563, 133, S19, B01, 1
B01, Trade, 2591646.696, 150, B01, S04, 1
B01, Trade, 2591654.713, 112, B01, S06, 1
B01, Trade, 2591671.079, 100, S23, B01, 1
B01, Trade, 2591678.846, 147, B01, S28, 1
B01, Trade, 2591691.113, 150, B01, S23, 1
B01, Trade, 2591698.763, 102, B01, S18, 1
B01, Trade, 2591710.996, 150, B01, S10, 1
B01, Trade, 2591721.996, 117, B01, S00, 1
B01, Trade, 2591728.229, 150, B01, S21, 1
B01, Trade, 2591739.479, 111, B01, S05, 1
B01, Trade, 2591745.396, 101, S06, B01, 1
B01, Trade, 2591756.929, 105, B01, S16, 1
B01, Trade, 2591772.029, 144, B01, S14, 1
B01, Trade, 2591780.879, 100, S18, B01, 1
B01, Trade, 2591794.879, 144, B01, S12, 1
B01, Trade, 2591805.913, 150, B01, S22, 1
B01, Trade, 2591814.746, 116, B01, S03, 1
B01, Trade, 2591827.946, 123, B01, S20, 1
B01, Trade, 2591841.446, 111, B01, S16, 1
B01, Trade, 2591849.929, 150, B01, S28, 1
B01, Trade, 2591855.196, 113, B01, S10, 1
B01, Trade, 2591876.546, 118, B01, S27, 1
B01, Trade, 2591889.196, 100, S02, B01, 1
B01, Trade, 2591899.313, 101, S24, B01, 1
B01, Trade, 2591913.513, 105, B01, S10, 1
B01, Trade, 2591928.229, 149, B01, S25, 1
B01, Trade, 2591937.196, 150, B01, S00, 1
B01, Trade, 2591942.413, 104, B01, S22, 1
B01, Trade, 2591948.329, 150, B01, S28, 1
B01, Trade, 2591956.746, 144, B01, S08, 1
B01, Trade, 2591964.229, 150, S18, B01, 1
B01, Trade, 2591978.863, 100, S01, B01, 1
B01, Trade, 2591990.546, 150, B01, S08, 1
B02, 100
B02, Trade, 2590291.429, 114, B02, S22, 1
B02, Trade, 2590309.063, 125, S17, B02, 1
B02, Trade, 2590328.796, 111, B02, S16, 1
B02, Trade, 2590333.996, 132, S26, B02, 1
B02, Trade, 2590348.296, 101, S08, B02, 1
B02, Trade, 2590380.546, 113, S20, B02, 1
B02, Trade, 2590408.013, 102, S20, B02, 1
B02, Trade, 2590417.613, 104, S02, B02, 1
B02, Trade, 2590428.229, 129, B02, S23, 1
B02, Trade, 2590446.079, 101, S18, B02, 1
B02, Trade, 2590468.946, 141, S26, B02, 1
B02, Trade, 2590492.929, 129, S01, B02, 1
B02, Trade, 2590508.813, 112, B02, S20, 1
B02, Trade, 2590532.863, 106, S10, B02, 1
B02, Trade, 2590539.313, 112, B02, S04, 1
B02, Trade, 2590548.596, 108, B02, S14, 1
B02, Trade, 2590568.146, 106, S28, B02, 1
B02, Trade, 2590585.296, 103, S01, B02, 1
B02, Trade, 2590594.429, 100, S14, B02, 1
B02, Trade, 2590610.663, 104, S14, B02, 1
B02, Trade, 2590626.546, 101, S10, B02, 1
B02, Trade, 2590647.996, 123, B02, S09, 1
B02, Trade, 2590670.863, 106, S16, B02, 1
B02, Trade, 2590684.313, 114, B02, S22, 1
B02, Trade, 2590705.596, 134, B02, S10, 1
B02, Trade, 2590729.879, 139, S29, B02, 1
B02, Trade, 2590741.863, 101, S29, B02, 1
B02, Trade, 2590759.746, 100, S15, B02, 1
B02, Trade, 2590762.379, 118, S29, B02, 1
B02, Trade, 2590781.763, 104, S21, B02, 1
B02, Trade, 2590795.563, 104, S12, B02, 1
B02, Trade, 2590824.279, 135, B02, S24, 1
B02, Trade, 2590831.913, 102, S26, B02, 1
B02, Trade, 2590870.946, 107, S18, B02, 1
B02, Trade, 2590879.813, 135, B02, S07, 1
B02, Trade, 2590917.463, 129, S21, B02, 1
B02, Trade, 2590928.813, 100, S29, B02, 1
B02, Trade, 2590931.429, 100, S02, B02, 1
B02, Trade, 2590949.429, 114, S00, B02, 1
B02, Trade, 2590967.946, 113, S15, B02, 1
B02, Trade, 2590973.129, 134, B02, S09, 1
B02, Trade, 2591003.313, 105, B02, S09, 1
B02, Trade, 2591029.596, 124, S26, B02, 1
B02, Trade, 2591044.146, 103, S02, B02, 1
B02, Trade, 2591055.263, 100, S25, B02, 1
B02, Trade, 2591085.096, 115, B02, S03, 1
B02, Trade, 2591093.546, 101, S14, B02, 1
B02, Trade, 2591104.929, 101, B02, S03, 1
B02, Trade, 2591123.563, 106, B02, S25, 1
B02, Trade, 2591148.163, 133, B02, S07, 1
B02, Trade, 2591149.696, 129, B02, S12, 1
B02, Trade, 2591160.429, 101, S07, B02, 1
B02, Trade, 2591173.596, 100, S17, B02, 1
B02, Trade, 2591200.296, 109, B02, S28, 1
B02, Trade, 2591211.396, 102, B02, S22, 1
B02, Trade, 2591227.929, 101, S01, B02, 1
B02, Trade, 2591243.079, 102, S10, B02, 1
B02, Trade, 2591257.529, 142, B02, S27, 1
B02, Trade, 2591265.513, 118, B02, S06, 1
B02, Trade, 2591282.063, 133, S15, B02, 1
B02, Trade, 2591292.413, 120, B02, S12, 1
B02, Trade, 2591351.346, 115, S08, B02, 1
B02, Trade, 2591384.479, 113, S15, B02, 1
B02, Trade, 2591392.546, 110, B02, S28, 1
B02, Trade, 2591400.696, 107, S28, B02, 1
B02, Trade, 2591426.713, 104, S16, B02, 1
B02, Trade, 2591460.346, 102, S16, B02, 1
B02, Trade, 2591469.863, 142, B02, S22, 1
B02, Trade, 2591498.046, 100, S01, B02, 1
B02, Trade, 2591513.046, 134, B02, S06, 1
B02, Trade, 2591521.346, 109, S08, B02, 1
B02, Trade, 2591533.663, 112, B02, S22, 1
B02, Trade, 2591542.263, 131, B02, S06, 1
B02, Trade, 2591550.629, 100, S18, B02, 1
B02, Trade, 2591571.863, 100, S15, B02, 1
B02, Trade, 2591582.513, 105, B02, S27, 1
B02, Trade, 2591589.613, 100, S06, B02, 1
B02, Trade, 2591612.129, 110, B02, S01, 1
B02, Trade, 2591633.313, 114, B02, S07, 1
B02, Trade, 2591644.213, 110, S11, B02, 1
B02, Trade, 2591657.163, 100, S24, B02, 1
B02, Trade, 2591660.296, 115, S01, B02, 1
